id,icon
0,"https://api.weather.gov/icons/land/night/few,1?size=small"
1,"https://api.weather.gov/icons/land/night/tsra_hi,20?size=small"
2,"https://api.weather.gov/icons/land/day/tsra_hi,25?size=small"
3,"https://api.weather.gov/icons/land/night/few,0?size=small"
4,"https://api.weather.gov/icons/land/night/tsra_hi,28?size=small"
5,"https://api.weather.gov/icons/land/night/tsra_hi,24?size=small"
6,"https://api.weather.gov/icons/land/day/tsra_sct,48?size=small"
7,"https://api.weather.gov/icons/land/day/tsra_hi,17?size=small"
8,"https://api.weather.gov/icons/land/night/tsra_hi,48?size=small"
9,"https://api.weather.gov/icons/land/night/tsra,37?size=small"
10,"https://api.weather.gov/icons/land/night/tsra_sct,58?size=small"
11,"https://api.weather.gov/icons/land/day/tsra_hi,19?size=small"
12,"https://api.weather.gov/icons/land/night/tsra_sct,57?size=small"
13,"https://api.weather.gov/icons/land/day/few,13?size=small"
14,"https://api.weather.gov/icons/land/day/tsra_hi,48?size=small"
15,"https://api.weather.gov/icons/land/day/tsra_hi,16?size=small"
16,"https://api.weather.gov/icons/land/night/tsra,56?size=small"
17,"https://api.weather.gov/icons/land/night/few,3?size=small"
18,"https://api.weather.gov/icons/land/day/sct,7?size=small"
19,"https://api.weather.gov/icons/land/day/tsra_hi,35?size=small"
20,"https://api.weather.gov/icons/land/night/tsra_hi,56?size=small"
21,"https://api.weather.gov/icons/land/day/tsra_hi,32?size=small"
22,"https://api.weather.gov/icons/land/night/tsra_hi,32?size=small"
23,"https://api.weather.gov/icons/land/night/tsra_sct,50?size=small"
24,"https://api.weather.gov/icons/land/day/tsra_sct,42?size=small"
25,"https://api.weather.gov/icons/land/day/tsra_hi,46?size=small"
26,"https://api.weather.gov/icons/land/night/tsra,43?size=small"
27,"https://api.weather.gov/icons/land/night/tsra_hi,29?size=small"
28,"https://api.weather.gov/icons/land/day/tsra_hi,29?size=small"
29,"https://api.weather.gov/icons/land/day/tsra_hi,24?size=small"
30,"https://api.weather.gov/icons/land/night/tsra,50?size=small"
31,"https://api.weather.gov/icons/land/day/sct,14?size=small"
32,"https://api.weather.gov/icons/land/day/tsra_hi,30?size=small"
33,"https://api.weather.gov/icons/land/day/tsra_hi,56?size=small"
34,"https://api.weather.gov/icons/land/day/tsra_hi,15?size=small"
35,"https://api.weather.gov/icons/land/day/tsra_hi,22?size=small"
36,"https://api.weather.gov/icons/land/night/tsra_hi,43?size=small"
37,"https://api.weather.gov/icons/land/day/tsra_hi,23?size=small"
38,"https://api.weather.gov/icons/land/night/tsra_hi,25?size=small"
39,"https://api.weather.gov/icons/land/night/few,10?size=small"
40,"https://api.weather.gov/icons/land/night/tsra_hi,22?size=small"
41,"https://api.weather.gov/icons/land/day/tsra_sct,46?size=small"
42,"https://api.weather.gov/icons/land/day/few,12?size=small"
43,"https://api.weather.gov/icons/land/day/tsra_hi,21?size=small"
44,"https://api.weather.gov/icons/land/night/tsra_sct,39?size=small"
45,"https://api.weather.gov/icons/land/day/sct,12?size=small"
46,"https://api.weather.gov/icons/land/day/tsra_hi,20?size=small"
47,"https://api.weather.gov/icons/land/day/sct,11?size=small"
48,"https://api.weather.gov/icons/land/night/tsra_hi,21?size=small"
49,"https://api.weather.gov/icons/land/night/tsra_hi,36?size=small"
50,"https://api.weather.gov/icons/land/night/few,2?size=small"
51,"https://api.weather.gov/icons/land/night/tsra_hi,26?size=small"
52,"https://api.weather.gov/icons/land/night/few,4?size=small"
53,"https://api.weather.gov/icons/land/day/tsra_hi,18?size=small"
54,"https://api.weather.gov/icons/land/night/few,13?size=small"
55,"https://api.weather.gov/icons/land/night/tsra_hi,18?size=small"
55,"https://api.weather.gov/icons/land/night/tsra_hi,35?size=small"
56,"https://api.weather.gov/icons/land/night/tsra,39?size=small"
57,"https://api.weather.gov/icons/land/day/skc,0?size=small"
58,"https://api.weather.gov/icons/land/night/tsra_hi,47?size=small"
59,"https://api.weather.gov/icons/land/day/bkn,8?size=small"
60,"https://api.weather.gov/icons/land/night/sct,13?size=small"
61,"https://api.weather.gov/icons/land/night/tsra,47?size=small"
62,"https://api.weather.gov/icons/land/day/bkn,7?size=small"
63,"https://api.weather.gov/icons/land/day/tsra_sct,29?size=small"
64,"https://api.weather.gov/icons/land/night/tsra_hi,19?size=small"
65,"https://api.weather.gov/icons/land/day/few,10?size=small"
66,"https://api.weather.gov/icons/land/day/sct,10?size=small"
67,"https://api.weather.gov/icons/land/night/sct,10?size=small"
68,"https://api.weather.gov/icons/land/day/tsra_sct,17?size=small"
69,"https://api.weather.gov/icons/land/day/tsra_sct,15?size=small"
70,"https://api.weather.gov/icons/land/day/tsra_sct,31?size=small"
71,"https://api.weather.gov/icons/land/day/sct,13?size=small"
72,"https://api.weather.gov/icons/land/night/tsra_hi,16?size=small"
73,"https://api.weather.gov/icons/land/night/tsra,44?size=small"
74,"https://api.weather.gov/icons/land/day/tsra_hi,31?size=small"
75,"https://api.weather.gov/icons/land/day/tsra_sct,22?size=small"
76,"https://api.weather.gov/icons/land/day/bkn,5?size=small"
77,"https://api.weather.gov/icons/land/night/tsra_hi,17?size=small"
78,"https://api.weather.gov/icons/land/night/sct,2?size=small"
79,"https://api.weather.gov/icons/land/day/tsra,36?size=small"
80,"https://api.weather.gov/icons/land/day/tsra_hi,47?size=small"
81,"https://api.weather.gov/icons/land/night/tsra_hi,30?size=small"
82,"https://api.weather.gov/icons/land/day/few,0?size=small"
83,"https://api.weather.gov/icons/land/night/tsra_hi,23?size=small"
84,"https://api.weather.gov/icons/land/night/skc,0?size=small"
85,"https://api.weather.gov/icons/land/day/bkn,12?size=small"
86,"https://api.weather.gov/icons/land/day/sct,9?size=small"
87,"https://api.weather.gov/icons/land/night/tsra_hi,31?size=small"
87,"https://api.weather.gov/icons/land/night/tsra_hi,45?size=small"
88,"https://api.weather.gov/icons/land/day/few,4?size=small"
89,"https://api.weather.gov/icons/land/day/tsra_hi,34?size=small"
90,"https://api.weather.gov/icons/land/night/tsra_sct,45?size=small"
91,"https://api.weather.gov/icons/land/night/tsra_hi,60?size=small"
92,"https://api.weather.gov/icons/land/night/few,9?size=small"
93,"https://api.weather.gov/icons/land/day/tsra_sct,26?size=small"
94,"https://api.weather.gov/icons/land/day/tsra_hi,26?size=small"
95,"https://api.weather.gov/icons/land/day/tsra_sct,19?size=small"
96,"https://api.weather.gov/icons/land/day/rain_showers,17?size=small"
97,"https://api.weather.gov/icons/land/day/tsra_hi,28?size=small"
98,"https://api.weather.gov/icons/land/day/skc,4?size=small"
99,"https://api.weather.gov/icons/land/night/sct,12?size=small"
100,"https://api.weather.gov/icons/land/day/rain_showers,15?size=small"
101,"https://api.weather.gov/icons/land/night/tsra_hi,34?size=small"
102,"https://api.weather.gov/icons/land/day/skc,2?size=small"
103,"https://api.weather.gov/icons/land/night/rain_showers,15?size=small"
104,"https://api.weather.gov/icons/land/day/sct,8?size=small"
105,"https://api.weather.gov/icons/land/night/sct,5?size=small"
106,"https://api.weather.gov/icons/land/day/few,2?size=small"
107,"https://api.weather.gov/icons/land/day/tsra_hi,60?size=small"
108,"https://api.weather.gov/icons/land/day/tsra_sct,24?size=small"
109,"https://api.weather.gov/icons/land/day/sct,4?size=small"
110,"https://api.weather.gov/icons/land/night/tsra_hi,15?size=small"
111,"https://api.weather.gov/icons/land/day/tsra_sct,39?size=small"
112,"https://api.weather.gov/icons/land/day/bkn,11?size=small"
112,"https://api.weather.gov/icons/land/night/rain_showers,17?size=small"
112,"https://api.weather.gov/icons/land/night/few,14?size=small"
113,"https://api.weather.gov/icons/land/day/smoke,3?size=small"
114,"https://api.weather.gov/icons/land/night/tsra_sct,37?size=small"
115,"https://api.weather.gov/icons/land/night/tsra_sct,41?size=small"
116,"https://api.weather.gov/icons/land/night/rain_showers,16?size=small"
117,"https://api.weather.gov/icons/land/night/sct,7?size=small"
118,"https://api.weather.gov/icons/land/night/sct,11?size=small"
119,"https://api.weather.gov/icons/land/day/few,1?size=small"
120,"https://api.weather.gov/icons/land/day/smoke,2?size=small"
121,"https://api.weather.gov/icons/land/night/tsra_sct,18?size=small"
122,"https://api.weather.gov/icons/land/night/tsra_hi,52?size=small"
123,"https://api.weather.gov/icons/land/night/tsra,48?size=small"
